Animal_ID,CSDS,Time SIR_Classification,Distance SIR_Classification,Mass,Time_in_SIZ_Session1,Time_in_SIZ_Session2,Normalized_distance_to_POI_Session1,Normalized_distance_to_POI_Session2,Time_SIR_typeA,Time_SIR_typeB,Distance_SIR_typeA,Distance_SIR_typeB,Shred,SEI
F2_Control,Control,Control,Control,20.000,46.000,63.967,0.460,0.381,1.391,0.582,0.827,0.453,4.000,1.285
F3_Control,Control,Control,Control,20.000,24.367,55.967,0.553,0.416,2.297,0.697,0.752,0.429,3.000,1.624
F4_Control,Control,Control,Control,20.000,53.967,96.667,0.435,0.263,1.791,0.642,0.604,0.377,5.000,1.703
F5_Control,Control,Control,Control,18.900,24.767,45.900,0.559,0.462,1.853,0.650,0.827,0.453,4.000,1.435
F6_Control,Control,Control,Control,21.400,46.167,56.800,0.472,0.423,1.230,0.552,0.895,0.472,5.000,1.168
F7_Control,Control,Control,Control,20.800,29.600,61.967,0.548,0.430,2.094,0.677,0.786,0.440,5.000,1.538
F8_Control,Control,Control,Control,19.300,35.800,64.200,0.500,0.359,1.793,0.642,0.719,0.418,5.000,1.535
F9_Control,Control,Control,Control,20.000,24.233,52.833,0.599,0.474,2.180,0.686,0.792,0.442,3.000,1.551
F10_Stress,Stress,Resilient,Resilient,22.700,30.500,57.833,0.556,0.450,1.896,0.655,0.809,0.447,2.000,1.464
F16_Stress,Stress,Resilient,Susceptible,20.300,20.033,32.200,0.588,0.630,1.607,0.617,1.072,0.517,3.000,1.192
F18_Stress,Stress,Resilient,Resilient,20.600,31.567,42.267,0.523,0.483,1.339,0.573,0.924,0.480,3.000,1.192
F21_Stress,Stress,Resilient,Susceptible,20.300,27.367,28.367,0.556,0.591,1.037,0.509,1.064,0.516,3.000,0.987
F26_Stress,Stress,Resilient,Resilient,20.500,30.400,41.200,0.599,0.581,1.355,0.575,0.970,0.492,2.000,1.169
F28_Stress,Stress,Resilient,Susceptible,22.100,18.267,19.133,0.609,0.694,1.047,0.512,1.139,0.533,3.000,0.961
F29_Stress,Stress,Resilient,Resilient,19.700,53.533,93.300,0.445,0.305,1.743,0.635,0.686,0.407,1.000,1.562
F11_Stress,Stress,Susceptible,Susceptible,21.300,46.867,10.600,0.444,0.739,0.226,0.185,1.664,0.625,1.000,0.295
F12_Stress,Stress,Susceptible,Susceptible,22.800,26.067,24.233,0.551,0.662,0.930,0.482,1.202,0.546,3.000,0.883
F13_Stress,Stress,Susceptible,Susceptible,21.100,36.433,10.333,0.538,0.740,0.284,0.221,1.375,0.579,4.000,0.382
F14_Stress,Stress,Susceptible,Susceptible,18.100,45.100,32.200,0.465,0.635,0.714,0.417,1.364,0.577,3.000,0.722
F15_Stress,Stress,Susceptible,Resilient,21.500,66.767,66.100,0.362,0.323,0.990,0.498,0.891,0.471,2.000,1.056
F17_Stress,Stress,Susceptible,Susceptible,21.000,50.267,21.133,0.445,0.635,0.420,0.296,1.426,0.588,1.000,0.504
F19_Stress,Stress,Susceptible,Susceptible,21.200,62.467,17.400,0.389,0.679,0.279,0.218,1.746,0.636,1.000,0.343
F20_Stress,Stress,Susceptible,Susceptible,21.000,44.300,34.100,0.466,0.572,0.770,0.435,1.228,0.551,2.000,0.789
F22_Stress,Stress,Susceptible,Susceptible,21.200,30.333,19.467,0.613,0.635,0.642,0.391,1.037,0.509,1.000,0.768
F23_Stress,Stress,Susceptible,Susceptible,21.400,45.700,38.367,0.461,0.469,0.840,0.456,1.017,0.504,2.000,0.905
F24_Stress,Stress,Susceptible,Susceptible,22.100,33.733,24.400,0.560,0.621,0.723,0.420,1.109,0.526,1.000,0.798
F25_Stress,Stress,Susceptible,Susceptible,23.000,39.567,21.900,0.466,0.687,0.554,0.356,1.476,0.596,2.000,0.598
F27_Stress,Stress,Susceptible,Susceptible,20.500,46.433,36.600,0.441,0.590,0.788,0.441,1.340,0.573,2.000,0.770